0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Miklagårdsvägen 8F,1395000.0,Price per square meter:  26 321 kr/m²,Starting price: 1395000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 53,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 2016,Fee:  4 005 kr/mån,Driftskostnad:  4 800 kr/år,Number of visits: 549,,
Hagagatan 17B,7950000.0,Price per square meter:  103 247 kr/m²,Starting price: 7595000,Price trend:  +355 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 77,Balcony:  Ja,"Floor:  4 av 6, hiss finns",Year built: 1981,Fee:  4 210 kr/mån,Driftskostnad:  2 751 kr/år,Number of visits: 4700,,
Krokvägen 12B,525000.0,Price per square meter:  7 609 kr/m²,Starting price: 545000,Price trend:  -20 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 69,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1956,Fee:  5 458 kr/mån,Driftskostnad:  3 168 kr/år,Number of visits: 1713,,
Lill-Jans plan 8,8600000.0,Price per square meter:  128 358 kr/m²,Starting price: 8750000,Price trend:  -150 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 67,Balcony:  Nej,Year built: 1897,Fee:  2 351 kr/mån,Driftskostnad:  6 500 kr/år,Number of visits: 2270,,,
Hasselstigen 48,930000.0,Price per square meter:  9 300 kr/m²,Starting price: 925000,Price trend:  +5 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 100,Balcony:  Nej,Uteplats:  Ja,Fee:  5 748 kr/mån,Driftskostnad:  300 kr/år,Number of visits: 1854,,,
Logdansvägen 40,1350000.0,Price per square meter:  54 656 kr/m²,Starting price: 1350000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 24.7,Balcony:  Nej,Year built: 1967,Fee:  1 574 kr/mån,Driftskostnad:  1 800 kr/år,Number of visits: 7316,,,
Sperlingsgatan 9C,850000.0,Price per square meter:  21 250 kr/m²,Starting price: 895000,Price trend:  -45 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 40,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1949,Fee:  3 679 kr/mån,Driftskostnad:  3 004 kr/år,Number of visits: 1398,,
Serenadgatan 30,1170000.0,Price per square meter:  16 250 kr/m²,Starting price: 1195000,Price trend:  -25 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 72,Balcony:  Ja,"Floor:  8 av 17, hiss finns",Year built: 1971,Fee:  5 771 kr/mån,Number of visits: 2108,,,
Hagelstavägen 12,2350000.0,Price per square meter:  44 340 kr/m²,Starting price: 2450000,Price trend:  -100 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 53,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1948,Fee:  4 559 kr/mån,Driftskostnad:  8 731 kr/år,Number of visits: 9452,,
Möckelvägen 34,2300000.0,Price per square meter:  54 762 kr/m²,Starting price: 2195000,Price trend:  +105 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 42,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1944,Fee:  4 385 kr/mån,Number of visits: 4920,,,
"Brogatan 48, 7 tr",3850000.0,Price per square meter:  46 386 kr/m²,Starting price: 3750000,Price trend:  +100 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 83,Balcony:  Ja,"Floor:  7 av 8, hiss finns",Year built: 2005,Fee:  4 721 kr/mån,Driftskostnad:  4 020 kr/år,Number of visits: 4182,,
Jungmansgatan 5,6800000.0,Price per square meter:  43 590 kr/m²,Starting price: 6975000,Price trend:  -175 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 156,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1929,Fee:  6 806 kr/mån,Driftskostnad:  9 600 kr/år,Number of visits: 19944,,
Hjorttackegatan 9A,3688000.0,Price per square meter:  56 738 kr/m²,Starting price: 3695000,Price trend:  -7 000 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 65,Balcony:  Ja,"Floor:  2 av 4, hiss finns",Year built: 1940,Fee:  4 450 kr/mån,Driftskostnad:  10 344 kr/år,Number of visits: 6592,,
Aschebergsgatan 8,1795000.0,Price per square meter:  32 054 kr/m²,Starting price: 1895000,Price trend:  -100 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,Balcony:  Nej,"Floor:  4 av 4, hiss finns ej",Year built: 1908,Fee:  4 426 kr/mån,Driftskostnad:  1 500 kr/år,Number of visits: 4277,,
Teknikvägen 85,3400000.0,Price per square meter:  20 544 kr/m²,Starting price: 3495000,Price trend:  -95 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 6,Living area: 165.5,Balcony:  Ja,Uteplats:  Ja,Year built: 1980,Fee:  10 657 kr/mån,Number of visits: 1529,,,
"Loftvägen 10, vån 5/5",1650000.0,Price per square meter:  25 191 kr/m²,Starting price: 1495000,Price trend:  +155 000 kr (+10 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 65.5,Balcony:  Ja,"Floor:  5 av 5, hiss finns",Fee:  4 128 kr/mån,Number of visits: 2270,,,,
"Ringvägen 16, 5 tr",3555000.0,Price per square meter:  30 076 kr/m²,Starting price: 3495000,Price trend:  +60 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 118.2,Balcony:  Ja,"Floor:  6 av 8, hiss finns",Year built: 2000,Fee:  8 173 kr/mån,Driftskostnad:  11 400 kr/år,Number of visits: 2137,,
Josef Ekbergs gränd 6,2200000.0,Price per square meter:  52 381 kr/m²,Starting price: 2295000,Price trend:  -95 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 42,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 2018,Fee:  4 169 kr/mån,Driftskostnad:  6 648 kr/år,Number of visits: 2257,,
Smålandsvägen 11,1400000.0,Price per square meter:  13 333 kr/m²,Starting price: 1495000,Price trend:  -95 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 105,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1991,Fee:  8 644 kr/mån,Driftskostnad:  9 336 kr/år,Number of visits: 2303,,
Förbindelsevägen 12,5795000.0,Price per square meter:  45 992 kr/m²,Starting price: 5795000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 126,Balcony:  Ja,Uteplats:  Ja,Floor:  0,Fee:  6 590 kr/mån,Driftskostnad:  25 080 kr/år,Number of visits: 2938,,
Lövstagatan 21A,1700000.0,Price per square meter:  20 732 kr/m²,Starting price: 1745000,Price trend:  -45 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 82,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1944,Fee:  5 480 kr/mån,Number of visits: 4658,,,
Västergatan 29A,750000.0,Price per square meter:  20 833 kr/m²,Starting price: 795000,Price trend:  -45 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 36,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Fee:  2 458 kr/mån,Driftskostnad:  3 432 kr/år,Number of visits: 1996,,,
"Storgatan 29A, 1tr",2300000.0,Price per square meter:  54 762 kr/m²,Starting price: 2195000,Price trend:  +105 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 42,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1948,Fee:  2 874 kr/mån,Driftskostnad:  6 660 kr/år,Number of visits: 3383,,
Phragménsvägen 7,1430000.0,Price per square meter:  26 481 kr/m²,Starting price: 1595000,Price trend:  -165 000 kr (-10 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 54,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1945,Fee:  4 113 kr/mån,Driftskostnad:  12 732 kr/år,Number of visits: 1990,,
Lars Forssells gata 31,8200000.0,Price per square meter:  89 617 kr/m²,Starting price: 7495000,Price trend:  +705 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 91.5,Balcony:  Ja,"Floor:  2 av 9, hiss finns",Year built: 2012,Fee:  4 185 kr/mån,Number of visits: 1860,,,
Sofiagatan 7B,265000.0,Price per square meter:  4 077 kr/m²,Starting price: 350000,Price trend:  -85 000 kr (-24 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 65,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1969,Fee:  4 533 kr/mån,Driftskostnad:  900 kr/år,Number of visits: 1859,,
Lötgårdarna 22,725000.0,Price per square meter:  10 211 kr/m²,Starting price: 795000,Price trend:  -70 000 kr (-9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 71,Uteplats:  Ja,"Floor:  0 av 3, hiss finns ej",Year built: 1969,Fee:  4 073 kr/mån,Driftskostnad:  3 060 kr/år,Number of visits: 1498,,
"Ljusnevägen 6, 2tr",3100000.0,Price per square meter:  54 386 kr/m²,Starting price: 2900000,Price trend:  +200 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 57,Balcony:  Ja,"Floor:  2 av 4, hiss finns",Year built: 2009,Fee:  3 696 kr/mån,Driftskostnad:  7 020 kr/år,Number of visits: 2321,,
Rörstrandsgatan 60,9625000.0,Price per square meter:  111 919 kr/m²,Starting price: 9995000,Price trend:  -370 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 86,"Floor:  1, hiss finns",Year built: 1909,Fee:  3 933 kr/mån,Number of visits: 3150,,,,
Norra Skeppargatan 28 C,2425000.0,Price per square meter:  23 430 kr/m²,Starting price: 2495000,Price trend:  -70 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 103.5,Uteplats:  Ja,"Floor:  1 av 5, hiss finns",Year built: 1988,Fee:  6 779 kr/mån,Driftskostnad:  16 608 kr/år,Number of visits: 5554,,
Skogsgatan 3B,2495000.0,Price per square meter:  39 603 kr/m²,Starting price: 2495000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 63,Balcony:  Ja,"Floor:  1, hiss finns",Fee:  4 341 kr/mån,Number of visits: 548,,,,
Reveljvägen 11E,2095000.0,Price per square meter:  25 549 kr/m²,Starting price: 2095000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 82,Uteplats:  Ja,"Floor:  0 av 2, hiss finns ej",Year built: 2023,Fee:  7 325 kr/mån,Driftskostnad:  3 600 kr/år,Number of visits: 1409,,
Armévägen 19,2430000.0,Price per square meter:  26 703 kr/m²,Starting price: 2395000,Price trend:  +35 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 91,Balcony:  Ja,"Floor:  6 av 7, hiss finns",Year built: 2007,Fee:  6 299 kr/mån,Driftskostnad:  7 560 kr/år,Number of visits: 1754,,
Stenbacksvägen 27,920000.0,Price per square meter:  11 500 kr/m²,Starting price: 875000,Price trend:  +45 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 80,Biarea:  5 m²,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 1, hiss finns ej",Year built: 1990,Fee:  7 489 kr/mån,Driftskostnad:  7 200 kr/år,Number of visits: 2207
Sveagatan 20A,4940000.0,Price per square meter:  62 532 kr/m²,Starting price: 4695000,Price trend:  +245 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 79,Balcony:  Ja,"Floor:  3 av 5, hiss finns",Year built: 1929,Fee:  5 740 kr/mån,Number of visits: 2715,,,
Kungsgatan 19,1060000.0,Price per square meter:  13 947 kr/m²,Starting price: 1195000,Price trend:  -135 000 kr (-11 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 76,Balcony:  Ja,Uteplats:  Ja,"Floor:  1 av 4, hiss finns",Year built: 1990,Fee:  4 386 kr/mån,Driftskostnad:  4 396 kr/år,Number of visits: 6641,
Bures Gata 19B,2000000.0,Price per square meter:  40 816 kr/m²,Starting price: 2095000,Price trend:  -95 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 49,Balcony:  Ja,"Floor:  4 av 5, hiss finns",Year built: 2019,Fee:  3 844 kr/mån,Number of visits: 476,,,
Lövbergavägen 6C,3595000.0,Price per square meter:  74 896 kr/m²,Starting price: 3595000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 48,Tomtarea:  201 m²,Fee:  2 804 kr/mån,Driftskostnad:  13 248 kr/år,Number of visits: 3328,,,,
Lötgårdarna 17,510000.0,Price per square meter:  8 226 kr/m²,Starting price: 495000,Price trend:  +15 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 62,Balcony:  Ja,"Floor:  3 av 3, hiss finns ej",Year built: 1969,Fee:  3 855 kr/mån,Number of visits: 966,,,
Boforsgatan 7,2450000.0,Price per square meter:  41 525 kr/m²,Starting price: 2250000,Price trend:  +200 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59,Balcony:  Ja,"Floor:  2, hiss finns",Fee:  4 046 kr/mån,Driftskostnad:  5 916 kr/år,Number of visits: 840,,,
Brännkyrkagatan 92A,2825000.0,Price per square meter:  113 000 kr/m²,Starting price: 2495000,Price trend:  +330 000 kr (+13 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 25,Balcony:  Nej,"Floor:  4,5, hiss finns ej",Year built: 1935,Fee:  2 083 kr/mån,Number of visits: 2960,,,
Hjortgatan 12A,3015000.0,Price per square meter:  77 308 kr/m²,Starting price: 2995000,Price trend:  +20 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 39,Balcony:  Nej,"Floor:  2 av 3, hiss finns ej",Fee:  3 606 kr/mån,Number of visits: 1621,,,,
Erstagatan 20,4615000.0,Price per square meter:  118 333 kr/m²,Starting price: 3695000,Price trend:  +920 000 kr (+25 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 39,Balcony:  Ja,"Floor:  4 av 5, hiss finns",Year built: 1929,Fee:  1 557 kr/mån,Driftskostnad:  5 500 kr/år,Number of visits: 3021,,
Sandåkersgatan 2,2350000.0,Price per square meter:  35 338 kr/m²,Starting price: 2495000,Price trend:  -145 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 66.5,Balcony:  Ja,"Floor:  4 av 4, hiss finns",Year built: 2015,Fee:  5 441 kr/mån,Driftskostnad:  4 440 kr/år,Number of visits: 3935,,
